Pointid,Grid_code,Longitude,Latitude,Elevation
145,17,119.3916093828009,26.09424894932732,715
146,17,119.3917858655514,26.09424894932732,718
147,17,119.3919623483019,26.09424894932732,717
148,17,119.3916093828009,26.094355395669965,715
149,17,119.3917858655514,26.094355395669965,718
150,17,119.3919623483019,26.094355395669965,717
151,17,119.3916093828009,26.094461842012606,704
152,17,119.3917858655514,26.094461842012606,706
153,17,119.3919623483019,26.094461842012606,708
154,18,119.3921388310524,26.09424894932732,717
155,18,119.39231531380291,26.09424894932732,719
156,18,119.39249179655341,26.09424894932732,719
157,18,119.3921388310524,26.094355395669965,717
158,18,119.39231531380291,26.094355395669965,719
159,18,119.39249179655341,26.094355395669965,719
160,18,119.3921388310524,26.094461842012606,708
161,18,119.39231531380291,26.094461842012606,708
162,18,119.39249179655341,26.094461842012606,708
163,19,119.39266827930392,26.09424894932732,724
164,19,119.39284476205442,26.09424894932732,732
165,19,119.39302124480493,26.09424894932732,732
166,19,119.39266827930392,26.094355395669965,724
167,19,119.39284476205442,26.094355395669965,732
168,19,119.39302124480493,26.094355395669965,732
169,19,119.39266827930392,26.094461842012606,711
170,19,119.39284476205442,26.094461842012606,718
171,19,119.39302124480493,26.094461842012606,718
172,20,119.39319772755543,26.09424894932732,738
173,20,119.39337421030594,26.09424894932732,745
174,20,119.39355069305644,26.09424894932732,745
175,20,119.39319772755543,26.094355395669965,738
176,20,119.39337421030594,26.094355395669965,745
177,20,119.39355069305644,26.094355395669965,745
178,20,119.39319772755543,26.094461842012606,727
179,20,119.39337421030594,26.094461842012606,735
180,20,119.39355069305644,26.094461842012606,735
181,21,119.39372717580696,26.09424894932732,754
182,21,119.39390365855746,26.09424894932732,762
183,21,119.39408014130797,26.09424894932732,762
184,21,119.39372717580696,26.094355395669965,754
185,21,119.39390365855746,26.094355395669965,762
186,21,119.39408014130797,26.094355395669965,762
187,21,119.39372717580696,26.094461842012606,743
188,21,119.39390365855746,26.094461842012606,755
189,21,119.39408014130797,26.094461842012606,755
190,22,119.39055048629785,26.094568288355248,679
191,22,119.39072696904836,26.094568288355248,690
192,22,119.39090345179886,26.094568288355248,698
193,22,119.39055048629785,26.094674734697893,679
194,22,119.39072696904836,26.094674734697893,690
195,22,119.39090345179886,26.094674734697893,698
196,22,119.39055048629785,26.094781181040535,670
197,22,119.39072696904836,26.094781181040535,681
198,22,119.39090345179886,26.094781181040535,685
199,23,119.39107993454937,26.094568288355248,698
200,23,119.39125641729987,26.094568288355248,701
201,23,119.39143290005038,26.094568288355248,704
202,23,119.39107993454937,26.094674734697893,698
203,23,119.39125641729987,26.094674734697893,701
204,23,119.39143290005038,26.094674734697893,704
205,23,119.39107993454937,26.094781181040535,685
206,23,119.39125641729987,26.094781181040535,688
207,23,119.39143290005038,26.094781181040535,691
208,24,119.3916093828009,26.094568288355248,704
209,24,119.3917858655514,26.094568288355248,706
210,24,119.3919623483019,26.094568288355248,708
211,24,119.3916093828009,26.094674734697893,704
212,24,119.3917858655514,26.094674734697893,706
213,24,119.3919623483019,26.094674734697893,708
214,24,119.3916093828009,26.094781181040535,691
215,24,119.3917858655514,26.094781181040535,695
216,24,119.3919623483019,26.094781181040535,697
217,25,119.3921388310524,26.094568288355248,708
218,25,119.39231531380291,26.094568288355248,708
219,25,119.39249179655341,26.094568288355248,708
220,25,119.3921388310524,26.094674734697893,708
221,25,119.39231531380291,26.094674734697893,708
222,25,119.39249179655341,26.094674734697893,708
223,25,119.3921388310524,26.094781181040535,697
224,25,119.39231531380291,26.094781181040535,699
225,25,119.39249179655341,26.094781181040535,699
226,26,119.39266827930392,26.094568288355248,711
227,26,119.39284476205442,26.094568288355248,718
228,26,119.39302124480493,26.094568288355248,718
229,26,119.39266827930392,26.094674734697893,711
230,26,119.39284476205442,26.094674734697893,718
231,26,119.39302124480493,26.094674734697893,718
232,26,119.39266827930392,26.094781181040535,704
233,26,119.39284476205442,26.094781181040535,710
234,26,119.39302124480493,26.094781181040535,710
235,27,119.39319772755543,26.094568288355248,727
236,27,119.39337421030594,26.094568288355248,735
237,27,119.39355069305644,26.094568288355248,735
238,27,119.39319772755543,26.094674734697893,727
239,27,119.39337421030594,26.094674734697893,735
240,27,119.39355069305644,26.094674734697893,735
241,27,119.39319772755543,26.094781181040535,717
242,27,119.39337421030594,26.094781181040535,727
243,27,119.39355069305644,26.094781181040535,727
244,28,119.39372717580696,26.094568288355248,743
245,28,119.39390365855746,26.094568288355248,755
246,28,119.39408014130797,26.094568288355248,755
247,28,119.39372717580696,26.094674734697893,743
248,28,119.39390365855746,26.094674734697893,755
249,28,119.39408014130797,26.094674734697893,755
250,28,119.39372717580696,26.094781181040535,736
251,28,119.39390365855746,26.094781181040535,745
252,28,119.39408014130797,26.094781181040535,745
253,29,119.39055048629785,26.094887627383176,670
254,29,119.39072696904836,26.094887627383176,681
255,29,119.39090345179886,26.094887627383176,685
256,29,119.39055048629785,26.09499407372582,670
257,29,119.39072696904836,26.09499407372582,681
258,29,119.39090345179886,26.09499407372582,685
259,29,119.39055048629785,26.095100520068463,665
260,29,119.39072696904836,26.095100520068463,670
261,29,119.39090345179886,26.095100520068463,678
262,30,119.39107993454937,26.094887627383176,685
263,30,119.39125641729987,26.094887627383176,688
264,30,119.39143290005038,26.094887627383176,691
265,30,119.39107993454937,26.09499407372582,685
266,30,119.39125641729987,26.09499407372582,688
267,30,119.39143290005038,26.09499407372582,691
268,30,119.39107993454937,26.095100520068463,678
269,30,119.39125641729987,26.095100520068463,684
270,30,119.39143290005038,26.095100520068463,687
271,31,119.3916093828009,26.094887627383176,691
272,31,119.3917858655514,26.094887627383176,695
273,31,119.3919623483019,26.094887627383176,697
274,31,119.3916093828009,26.09499407372582,691
275,31,119.3917858655514,26.09499407372582,695
276,31,119.3919623483019,26.09499407372582,697
277,31,119.3916093828009,26.095100520068463,687
278,31,119.3917858655514,26.095100520068463,689
279,31,119.3919623483019,26.095100520068463,693
280,32,119.3921388310524,26.094887627383176,697
281,32,119.39231531380291,26.094887627383176,699
282,32,119.39249179655341,26.094887627383176,699
283,32,119.3921388310524,26.09499407372582,697
284,32,119.39231531380291,26.09499407372582,699
285,32,119.39249179655341,26.09499407372582,699
286,32,119.3921388310524,26.095100520068463,693
287,32,119.39231531380291,26.095100520068463,697
288,32,119.39249179655341,26.095100520068463,697
289,33,119.39266827930392,26.094887627383176,704
290,33,119.39284476205442,26.094887627383176,710
291,33,119.39302124480493,26.094887627383176,710
292,33,119.39266827930392,26.09499407372582,704
293,33,119.39284476205442,26.09499407372582,710
294,33,119.39302124480493,26.09499407372582,710
295,33,119.39266827930392,26.095100520068463,701
296,33,119.39284476205442,26.095100520068463,706
297,33,119.39302124480493,26.095100520068463,706
298,34,119.39319772755543,26.094887627383176,717
299,34,119.39337421030594,26.094887627383176,727
300,34,119.39355069305644,26.094887627383176,727
301,34,119.39319772755543,26.09499407372582,717
302,34,119.39337421030594,26.09499407372582,727
303,34,119.39355069305644,26.09499407372582,727
304,34,119.39319772755543,26.095100520068463,713
305,34,119.39337421030594,26.095100520068463,721
306,34,119.39355069305644,26.095100520068463,721
307,35,119.39372717580696,26.094887627383176,736
308,35,119.39390365855746,26.094887627383176,745
309,35,119.39408014130797,26.094887627383176,745
310,35,119.39372717580696,26.09499407372582,736
311,35,119.39390365855746,26.09499407372582,745
312,35,119.39408014130797,26.09499407372582,745
313,35,119.39372717580696,26.095100520068463,731
314,35,119.39390365855746,26.095100520068463,739
315,35,119.39408014130797,26.095100520068463,739
316,36,119.39055048629785,26.095206966411105,665
